Year, Month, Day, YrMnDy, y_obs, y_int, step_x, step_y
1997,    1,    1, 1997.00000000,    0.00000    ,    4.49342    , 1997.00000000,    5.74782    
1997,    1,    2, 1997.00273973,    36.0758    ,    4.71482    , 1997.00273973,    5.74782    
1997,    1,    3, 1997.00547945,    15.7197    ,    4.93134    , 1997.00547945,    5.74782    
1997,    1,    4, 1997.00821918,   0.109756    ,    5.14116    , 1997.00821918,    5.74782    
1997,    1,    5, 1997.01095890,   0.298571    ,    5.34251    , 1997.01095890,    5.74782    
1997,    1,    6, 1997.01369863,    0.00000    ,    5.53364    , 1997.01369863,    5.74782    
1997,    1,    7, 1997.01643836,    0.00000    ,    5.71291    , 1997.01643836,    5.74782    
1997,    1,    8, 1997.01917808,    0.00000    ,    5.87871    , 1997.01917808,    5.74782    
1997,    1,    9, 1997.02191781,    0.00000    ,    6.02957    , 1997.02191781,    5.74782    
1997,    1,   10, 1997.02465753,    0.00000    ,    6.16409    , 1997.02465753,    5.74782    
1997,    1,   11, 1997.02739726,    0.00000    ,    6.28100    , 1997.02739726,    5.74782    
1997,    1,   12, 1997.03013699,    0.00000    ,    6.37916    , 1997.03013699,    5.74782    
1997,    1,   13, 1997.03287671,    0.00000    ,    6.45754    , 1997.03287671,    5.74782    
1997,    1,   14, 1997.03561644,    0.00000    ,    6.51530    , 1997.03561644,    5.74782    
1997,    1,   15, 1997.03835616,    0.00000    ,    6.55171    , 1997.03835616,    5.74782    
1997,    1,   16, 1997.04109589,    0.00000    ,    6.56621    , 1997.04109589,    5.74782    
1997,    1,   17, 1997.04383562,    2.19743    ,    6.55840    , 1997.04383562,    5.74782    
1997,    1,   18, 1997.04657534,    0.00000    ,    6.52805    , 1997.04657534,    5.74782    
1997,    1,   19, 1997.04931507,   0.192124    ,    6.47509    , 1997.04931507,    5.74782    
1997,    1,   20, 1997.05205479,   0.545534    ,    6.39963    , 1997.05205479,    5.74782    
1997,    1,   21, 1997.05479452,   0.855109    ,    6.30191    , 1997.05479452,    5.74782    
1997,    1,   22, 1997.05753425,    14.9579    ,    6.18236    , 1997.05753425,    5.74782    
1997,    1,   23, 1997.06027397,    25.8943    ,    6.04158    , 1997.06027397,    5.74782    
1997,    1,   24, 1997.06301370,   0.242133E-01,    5.88029    , 1997.06301370,    5.74782    
1997,    1,   25, 1997.06575342,    65.4337    ,    5.69939    , 1997.06575342,    5.74782    
1997,    1,   26, 1997.06849315,    14.4332    ,    5.49989    , 1997.06849315,    5.74782    
1997,    1,   27, 1997.07123288,    1.37894    ,    5.28296    , 1997.07123288,    5.74782    
1997,    1,   28, 1997.07397260,   0.661783E-01,    5.04988    , 1997.07397260,    5.74782    
1997,    1,   29, 1997.07671233,    0.00000    ,    4.80203    , 1997.07671233,    5.74782    
1997,    1,   30, 1997.07945205,    0.00000    ,    4.54092    , 1997.07945205,    5.74782    
1997,    1,   31, 1997.08219178,    0.00000    ,    4.26811    , 1997.08356164,    5.74782    
1997,    2,    1, 1997.08493151,    0.00000    ,    1.25483    , 1997.08356164,   0.292802    
1997,    2,    2, 1997.08767123,    0.00000    ,    1.15266    , 1997.08767123,   0.292802    
1997,    2,    3, 1997.09041096,   0.821157    ,    1.04806    , 1997.09041096,   0.292802    
1997,    2,    4, 1997.09315068,    0.00000    ,   0.941810    , 1997.09315068,   0.292802    
1997,    2,    5, 1997.09589041,    0.00000    ,   0.834679    , 1997.09589041,   0.292802    
1997,    2,    6, 1997.09863014,    0.00000    ,   0.727452    , 1997.09863014,   0.292802    
1997,    2,    7, 1997.10136986,   0.756831E-01,   0.620903    , 1997.10136986,   0.292802    
1997,    2,    8, 1997.10410959,    0.00000    ,   0.515790    , 1997.10410959,   0.292802    
1997,    2,    9, 1997.10684932,    0.00000    ,   0.412848    , 1997.10684932,   0.292802    
1997,    2,   10, 1997.10958904,   0.925507    ,   0.312787    , 1997.10958904,   0.292802    
1997,    2,   11, 1997.11232877,    0.00000    ,   0.216278    , 1997.11232877,   0.292802    
1997,    2,   12, 1997.11506849,    3.99292    ,   0.123954    , 1997.11506849,   0.292802    
1997,    2,   13, 1997.11780822,    0.00000    ,   0.363995E-01, 1997.11780822,   0.292802    
1997,    2,   14, 1997.12054795,    0.00000    ,    0.00000    , 1997.12054795,   0.292802    
1997,    2,   15, 1997.12328767,    0.00000    ,    0.00000    , 1997.12328767,   0.292802    
1997,    2,   16, 1997.12602740,    0.00000    ,    0.00000    , 1997.12602740,   0.292802    
1997,    2,   17, 1997.12876712,   0.358839    ,    0.00000    , 1997.12876712,   0.292802    
1997,    2,   18, 1997.13150685,    0.00000    ,    0.00000    , 1997.13150685,   0.292802    
1997,    2,   19, 1997.13424658,    0.00000    ,    0.00000    , 1997.13424658,   0.292802    
1997,    2,   20, 1997.13698630,    0.00000    ,    0.00000    , 1997.13698630,   0.292802    
1997,    2,   21, 1997.13972603,    0.00000    ,    0.00000    , 1997.13972603,   0.292802    
1997,    2,   22, 1997.14246575,    0.00000    ,    0.00000    , 1997.14246575,   0.292802    
1997,    2,   23, 1997.14520548,    0.00000    ,    0.00000    , 1997.14520548,   0.292802    
1997,    2,   24, 1997.14794521,    0.00000    ,    0.00000    , 1997.14794521,   0.292802    
1997,    2,   25, 1997.15068493,   0.132583E-01,    0.00000    , 1997.15068493,   0.292802    
1997,    2,   26, 1997.15342466,    1.38912    ,    0.00000    , 1997.15342466,   0.292802    
1997,    2,   27, 1997.15616438,   0.621977    ,    0.00000    , 1997.15616438,   0.292802    
1997,    2,   28, 1997.15890411,    0.00000    ,    0.00000    , 1997.16027397,   0.292802    
1997,    3,    1, 1997.16164384,   0.554263E-01,    0.00000    , 1997.16027397,   0.109837    
1997,    3,    2, 1997.16438356,    0.00000    ,    0.00000    , 1997.16438356,   0.109837    
1997,    3,    3, 1997.16712329,    0.00000    ,    0.00000    , 1997.16712329,   0.109837    
1997,    3,    4, 1997.16986301,    0.00000    ,    0.00000    , 1997.16986301,   0.109837    
1997,    3,    5, 1997.17260274,    0.00000    ,    0.00000    , 1997.17260274,   0.109837    
1997,    3,    6, 1997.17534247,    0.00000    ,    0.00000    , 1997.17534247,   0.109837    
1997,    3,    7, 1997.17808219,    0.00000    ,    0.00000    , 1997.17808219,   0.109837    
1997,    3,    8, 1997.18082192,   0.332325E-01,    0.00000    , 1997.18082192,   0.109837    
1997,    3,    9, 1997.18356164,    0.00000    ,    0.00000    , 1997.18356164,   0.109837    
1997,    3,   10, 1997.18630137,    0.00000    ,    0.00000    , 1997.18630137,   0.109837    
1997,    3,   11, 1997.18904110,    0.00000    ,    0.00000    , 1997.18904110,   0.109837    
1997,    3,   12, 1997.19178082,    0.00000    ,    0.00000    , 1997.19178082,   0.109837    
1997,    3,   13, 1997.19452055,    0.00000    ,    0.00000    , 1997.19452055,   0.109837    
1997,    3,   14, 1997.19726027,    0.00000    ,   0.585653E-03, 1997.19726027,   0.109837    
1997,    3,   15, 1997.20000000,    0.00000    ,   0.308917E-01, 1997.20000000,   0.109837    
1997,    3,   16, 1997.20273973,   0.147759E-02,   0.603617E-01, 1997.20273973,   0.109837    
1997,    3,   17, 1997.20547945,   0.680032E-01,   0.887575E-01, 1997.20547945,   0.109837    
1997,    3,   18, 1997.20821918,    0.00000    ,   0.115858    , 1997.20821918,   0.109837    
1997,    3,   19, 1997.21095890,    0.00000    ,   0.141461    , 1997.21095890,   0.109837    
1997,    3,   20, 1997.21369863,   0.211353    ,   0.165385    , 1997.21369863,   0.109837    
1997,    3,   21, 1997.21643836,    2.56254    ,   0.187467    , 1997.21643836,   0.109837    
1997,    3,   22, 1997.21917808,   0.472924    ,   0.207571    , 1997.21917808,   0.109837    
1997,    3,   23, 1997.22191781,    0.00000    ,   0.225578    , 1997.22191781,   0.109837    
1997,    3,   24, 1997.22465753,    0.00000    ,   0.241395    , 1997.22465753,   0.109837    
1997,    3,   25, 1997.22739726,    0.00000    ,   0.254951    , 1997.22739726,   0.109837    
1997,    3,   26, 1997.23013699,    0.00000    ,   0.266200    , 1997.23013699,   0.109837    
1997,    3,   27, 1997.23287671,    0.00000    ,   0.275117    , 1997.23287671,   0.109837    
1997,    3,   28, 1997.23561644,    0.00000    ,   0.281699    , 1997.23561644,   0.109837    
1997,    3,   29, 1997.23835616,    0.00000    ,   0.285967    , 1997.23835616,   0.109837    
1997,    3,   30, 1997.24109589,    0.00000    ,   0.287961    , 1997.24109589,   0.109837    
1997,    3,   31, 1997.24383562,    0.00000    ,   0.287742    , 1997.24520548,   0.109837    
