Year, Month, Day, YrMnDy, y_obs, y_int, step_x, step_y
1997,    1,    1, 1997.00000000,    11.0600    ,    3.03536    , 1997.00000000,    4.39355    
1997,    1,    2, 1997.00273973,    11.4300    ,    3.24103    , 1997.00273973,    4.39355    
1997,    1,    3, 1997.00547945,    6.38998    ,    3.44457    , 1997.00547945,    4.39355    
1997,    1,    4, 1997.00821918,    1.81000    ,    3.64386    , 1997.00821918,    4.39355    
1997,    1,    5, 1997.01095890,    1.88998    ,    3.83688    , 1997.01095890,    4.39355    
1997,    1,    6, 1997.01369863,   0.389984    ,    4.02167    , 1997.01369863,    4.39355    
1997,    1,    7, 1997.01643836,    1.59000    ,    4.19641    , 1997.01643836,    4.39355    
1997,    1,    8, 1997.01917808,    3.45999    ,    4.35935    , 1997.01917808,    4.39355    
1997,    1,    9, 1997.02191781,    5.63998    ,    4.50893    , 1997.02191781,    4.39355    
1997,    1,   10, 1997.02465753,    6.67001    ,    4.64371    , 1997.02465753,    4.39355    
1997,    1,   11, 1997.02739726,    3.73001    ,    4.76243    , 1997.02739726,    4.39355    
1997,    1,   12, 1997.03013699,    2.13998    ,    4.86400    , 1997.03013699,    4.39355    
1997,    1,   13, 1997.03287671,   -4.31000    ,    4.94753    , 1997.03287671,    4.39355    
1997,    1,   14, 1997.03561644,   -4.81998    ,    5.01232    , 1997.03561644,    4.39355    
1997,    1,   15, 1997.03835616,    2.17001    ,    5.05786    , 1997.03835616,    4.39355    
1997,    1,   16, 1997.04109589,    4.16000    ,    5.08387    , 1997.04109589,    4.39355    
1997,    1,   17, 1997.04383562,    6.32999    ,    5.09027    , 1997.04383562,    4.39355    
1997,    1,   18, 1997.04657534,    7.87003    ,    5.07718    , 1997.04657534,    4.39355    
1997,    1,   19, 1997.04931507,    7.53000    ,    5.04495    , 1997.04931507,    4.39355    
1997,    1,   20, 1997.05205479,    5.13998    ,    4.99412    , 1997.05205479,    4.39355    
1997,    1,   21, 1997.05479452,    3.66000    ,    4.92542    , 1997.05479452,    4.39355    
1997,    1,   22, 1997.05753425,    4.31000    ,    4.83980    , 1997.05753425,    4.39355    
1997,    1,   23, 1997.06027397,    2.01999    ,    4.73836    , 1997.06027397,    4.39355    
1997,    1,   24, 1997.06301370,   0.850006    ,    4.62238    , 1997.06301370,    4.39355    
1997,    1,   25, 1997.06575342,    6.03000    ,    4.49332    , 1997.06575342,    4.39355    
1997,    1,   26, 1997.06849315,    6.23001    ,    4.35274    , 1997.06849315,    4.39355    
1997,    1,   27, 1997.07123288,    5.51999    ,    4.20236    , 1997.07123288,    4.39355    
1997,    1,   28, 1997.07397260,    7.57999    ,    4.04400    , 1997.07397260,    4.39355    
1997,    1,   29, 1997.07671233,    5.82999    ,    3.87957    , 1997.07671233,    4.39355    
1997,    1,   30, 1997.07945205,    6.66000    ,    3.71104    , 1997.07945205,    4.39355    
1997,    1,   31, 1997.08219178,    7.24002    ,    3.54047    , 1997.08356164,    4.39355    
1997,    2,    1, 1997.08493151,    8.50000    ,    3.36080    , 1997.08356164,    2.87858    
1997,    2,    2, 1997.08767123,    5.93002    ,    3.17468    , 1997.08767123,    2.87858    
1997,    2,    3, 1997.09041096,    3.34000    ,    2.99406    , 1997.09041096,    2.87858    
1997,    2,    4, 1997.09315068,    6.07999    ,    2.82170    , 1997.09315068,    2.87858    
1997,    2,    5, 1997.09589041,    3.70999    ,    2.66028    , 1997.09589041,    2.87858    
1997,    2,    6, 1997.09863014,   0.350006    ,    2.51234    , 1997.09863014,    2.87858    
1997,    2,    7, 1997.10136986,    4.54001    ,    2.38031    , 1997.10136986,    2.87858    
1997,    2,    8, 1997.10410959,    2.69000    ,    2.26642    , 1997.10410959,    2.87858    
1997,    2,    9, 1997.10684932,    1.78000    ,    2.17271    , 1997.10684932,    2.87858    
1997,    2,   10, 1997.10958904,    5.07001    ,    2.10098    , 1997.10958904,    2.87858    
1997,    2,   11, 1997.11232877,    4.35001    ,    2.05281    , 1997.11232877,    2.87858    
1997,    2,   12, 1997.11506849,    4.22000    ,    2.02948    , 1997.11506849,    2.87858    
1997,    2,   13, 1997.11780822,    3.00000    ,    2.03201    , 1997.11780822,    2.87858    
1997,    2,   14, 1997.12054795,    5.19998    ,    2.06112    , 1997.12054795,    2.87858    
1997,    2,   15, 1997.12328767,    6.09000    ,    2.11723    , 1997.12328767,    2.87858    
1997,    2,   16, 1997.12602740,    5.80002    ,    2.20045    , 1997.12602740,    2.87858    
1997,    2,   17, 1997.12876712,    1.12003    ,    2.31059    , 1997.12876712,    2.87858    
1997,    2,   18, 1997.13150685,   0.750000    ,    2.44715    , 1997.13150685,    2.87858    
1997,    2,   19, 1997.13424658,   0.550018    ,    2.60934    , 1997.13424658,    2.87858    
1997,    2,   20, 1997.13698630,   0.139984    ,    2.79606    , 1997.13698630,    2.87858    
1997,    2,   21, 1997.13972603,    2.30002    ,    3.00596    , 1997.13972603,    2.87858    
1997,    2,   22, 1997.14246575,  -0.209991    ,    3.23743    , 1997.14246575,    2.87858    
1997,    2,   23, 1997.14520548,   0.680023    ,    3.48861    , 1997.14520548,    2.87858    
1997,    2,   24, 1997.14794521,  -0.440002    ,    3.75744    , 1997.14794521,    2.87858    
1997,    2,   25, 1997.15068493,  -0.559998    ,    4.04167    , 1997.15068493,    2.87858    
1997,    2,   26, 1997.15342466,    1.49002    ,    4.33888    , 1997.15342466,    2.87858    
1997,    2,   27, 1997.15616438,    1.38998    ,    4.64653    , 1997.15616438,    2.87858    
1997,    2,   28, 1997.15890411,    2.74002    ,    4.96197    , 1997.16027397,    2.87858    
1997,    3,    1, 1997.16164384,    2.34000    ,    5.26691    , 1997.16027397,    8.18065    
1997,    3,    2, 1997.16438356,    4.67001    ,    5.55845    , 1997.16438356,    8.18065    
1997,    3,    3, 1997.16712329,    2.85001    ,    5.84998    , 1997.16712329,    8.18065    
1997,    3,    4, 1997.16986301,    2.35001    ,    6.13950    , 1997.16986301,    8.18065    
1997,    3,    5, 1997.17260274,    2.80002    ,    6.42503    , 1997.17260274,    8.18065    
1997,    3,    6, 1997.17534247,    5.57001    ,    6.70466    , 1997.17534247,    8.18065    
1997,    3,    7, 1997.17808219,    7.70999    ,    6.97657    , 1997.17808219,    8.18065    
1997,    3,    8, 1997.18082192,    8.10001    ,    7.23901    , 1997.18082192,    8.18065    
1997,    3,    9, 1997.18356164,    8.53000    ,    7.49035    , 1997.18356164,    8.18065    
1997,    3,   10, 1997.18630137,    11.4600    ,    7.72910    , 1997.18630137,    8.18065    
1997,    3,   11, 1997.18904110,    10.2300    ,    7.95389    , 1997.18904110,    8.18065    
1997,    3,   12, 1997.19178082,    6.26999    ,    8.16352    , 1997.19178082,    8.18065    
1997,    3,   13, 1997.19452055,    6.26001    ,    8.35696    , 1997.19452055,    8.18065    
1997,    3,   14, 1997.19726027,    7.59000    ,    8.53335    , 1997.19726027,    8.18065    
1997,    3,   15, 1997.20000000,    9.60001    ,    8.69202    , 1997.20000000,    8.18065    
1997,    3,   16, 1997.20273973,    7.73001    ,    8.83247    , 1997.20273973,    8.18065    
1997,    3,   17, 1997.20547945,    8.22000    ,    8.95441    , 1997.20547945,    8.18065    
1997,    3,   18, 1997.20821918,    9.76999    ,    9.05777    , 1997.20821918,    8.18065    
1997,    3,   19, 1997.21095890,    11.1000    ,    9.14263    , 1997.21095890,    8.18065    
1997,    3,   20, 1997.21369863,    11.2200    ,    9.20931    , 1997.21369863,    8.18065    
1997,    3,   21, 1997.21643836,    12.2700    ,    9.25829    , 1997.21643836,    8.18065    
1997,    3,   22, 1997.21917808,    12.1900    ,    9.29026    , 1997.21917808,    8.18065    
1997,    3,   23, 1997.22191781,    11.0400    ,    9.30606    , 1997.22191781,    8.18065    
1997,    3,   24, 1997.22465753,    11.9400    ,    9.30674    , 1997.22465753,    8.18065    
1997,    3,   25, 1997.22739726,    11.9400    ,    9.29347    , 1997.22739726,    8.18065    
1997,    3,   26, 1997.23013699,    11.0600    ,    9.26758    , 1997.23013699,    8.18065    
1997,    3,   27, 1997.23287671,    9.56000    ,    9.23055    , 1997.23287671,    8.18065    
1997,    3,   28, 1997.23561644,    7.75000    ,    9.18395    , 1997.23561644,    8.18065    
1997,    3,   29, 1997.23835616,    8.51999    ,    9.12946    , 1997.23835616,    8.18065    
1997,    3,   30, 1997.24109589,    8.38998    ,    9.06884    , 1997.24109589,    8.18065    
1997,    3,   31, 1997.24383562,    4.57001    ,    9.00393    , 1997.24520548,    8.18065    
1997,    4,    1, 1997.24657534,    4.25000    ,    8.93547    , 1997.24520548,    9.50200    
1997,    4,    2, 1997.24931507,    5.48001    ,    8.86538    , 1997.24931507,    9.50200    
1997,    4,    3, 1997.25205479,    8.78000    ,    8.79688    , 1997.25205479,    9.50200    
1997,    4,    4, 1997.25479452,    8.70999    ,    8.73205    , 1997.25479452,    9.50200    
1997,    4,    5, 1997.25753425,    6.60001    ,    8.67294    , 1997.25753425,    9.50200    
1997,    4,    6, 1997.26027397,    5.41000    ,    8.62154    , 1997.26027397,    9.50200    
1997,    4,    7, 1997.26301370,    8.06000    ,    8.57976    , 1997.26301370,    9.50200    
1997,    4,    8, 1997.26575342,    7.57001    ,    8.54941    , 1997.26575342,    9.50200    
1997,    4,    9, 1997.26849315,    5.82001    ,    8.53216    , 1997.26849315,    9.50200    
1997,    4,   10, 1997.27123288,    7.60001    ,    8.52956    , 1997.27123288,    9.50200    
1997,    4,   11, 1997.27397260,    8.06000    ,    8.54299    , 1997.27397260,    9.50200    
1997,    4,   12, 1997.27671233,    7.86002    ,    8.57365    , 1997.27671233,    9.50200    
1997,    4,   13, 1997.27945205,    8.12003    ,    8.62257    , 1997.27945205,    9.50200    
1997,    4,   14, 1997.28219178,    11.1900    ,    8.69058    , 1997.28219178,    9.50200    
1997,    4,   15, 1997.28493151,    13.7500    ,    8.77829    , 1997.28493151,    9.50200    
1997,    4,   16, 1997.28767123,    12.1000    ,    8.88612    , 1997.28767123,    9.50200    
1997,    4,   17, 1997.29041096,    11.9600    ,    9.01425    , 1997.29041096,    9.50200    
1997,    4,   18, 1997.29315068,    11.2700    ,    9.16266    , 1997.29315068,    9.50200    
1997,    4,   19, 1997.29589041,    10.6400    ,    9.33109    , 1997.29589041,    9.50200    
1997,    4,   20, 1997.29863014,    11.8100    ,    9.51908    , 1997.29863014,    9.50200    
1997,    4,   21, 1997.30136986,    12.0900    ,    9.72596    , 1997.30136986,    9.50200    
1997,    4,   22, 1997.30410959,    10.9200    ,    9.95085    , 1997.30410959,    9.50200    
1997,    4,   23, 1997.30684932,    8.78000    ,    10.1927    , 1997.30684932,    9.50200    
1997,    4,   24, 1997.30958904,    8.63998    ,    10.4501    , 1997.30958904,    9.50200    
1997,    4,   25, 1997.31232877,    12.1400    ,    10.7219    , 1997.31232877,    9.50200    
1997,    4,   26, 1997.31506849,    15.0400    ,    11.0063    , 1997.31506849,    9.50200    
1997,    4,   27, 1997.31780822,    13.3200    ,    11.3016    , 1997.31780822,    9.50200    
1997,    4,   28, 1997.32054795,    10.2100    ,    11.6060    , 1997.32054795,    9.50200    
