Year, Month, YrMn, MonBeg, MidMonth, ndays, ym, ym_int
1997,    1, 1997.04246575,         1,        15,  31,    4.39355    ,    4.39406    
1997,    2, 1997.12168950,        32,        45,  28,    2.87858    ,    2.87782    
1997,    3, 1997.20913242,        60,        74,  31,    8.18065    ,    8.18113    
1997,    4, 1997.29109589,        91,       105,  30,    9.50200    ,    9.50146    
1997,    5, 1997.37579909,       121,       135,  31,    15.6084    ,    15.6089    
1997,    6, 1997.45776256,       152,       166,  30,    15.9017    ,    15.9013    
1997,    7, 1997.54246575,       182,       196,  31,    19.7926    ,    19.7930    
1997,    8, 1997.62579908,       213,       227,  31,    19.1997    ,    19.1995    
1997,    9, 1997.70776255,       244,       258,  30,    17.9247    ,    17.9251    
1997,   10, 1997.79246575,       274,       288,  31,    12.3168    ,    12.3165    
1997,   11, 1997.87442922,       305,       319,  30,    8.85000    ,    8.85046    
1997,   12, 1997.95913242,       335,       349,  31,    2.02161    ,    2.02161    
1998,    1, 1998.04246575,       366,       380,  31,    2.58259    ,    2.58259    
1998,    2, 1998.12168950,       397,       410,  28,    3.81358    ,    3.81351    
1998,    3, 1998.20913242,       425,       439,  31,    5.77516    ,    5.77526    
1998,    4, 1998.29109589,       456,       470,  30,    5.88333    ,    5.88334    
1998,    5, 1998.37579909,       486,       500,  31,    6.69484    ,    6.69442    
1998,    6, 1998.45776256,       517,       531,  30,    14.6637    ,    14.6639    
1998,    7, 1998.54246575,       547,       561,  31,    20.2119    ,    20.2121    
1998,    8, 1998.62579908,       578,       592,  31,    21.2039    ,    21.2041    
1998,    9, 1998.70776255,       609,       623,  30,    17.6870    ,    17.6872    
1998,   10, 1998.79246575,       639,       653,  31,    11.5603    ,    11.5602    
1998,   11, 1998.87442922,       670,       684,  30,    7.41500    ,    7.41509    
1998,   12, 1998.95913242,       700,       714,  31,    2.97549    ,    2.97549    
1999,    1, 1999.04246575,       731,       745,  31,    5.38291    ,    5.38291    
1999,    2, 1999.12168950,       762,       775,  28,    4.85465    ,    4.85451    
1999,    3, 1999.20913242,       790,       804,  31,    5.73903    ,    5.73909    
1999,    4, 1999.29109589,       821,       835,  30,    6.93900    ,    6.93870    
1999,    5, 1999.37579909,       851,       865,  31,    12.3148    ,    12.3149    
1999,    6, 1999.45776256,       882,       896,  30,    16.4940    ,    16.4940    
1999,    7, 1999.54246575,       912,       926,  31,    18.9326    ,    18.9328    
1999,    8, 1999.62579908,       943,       957,  31,    18.8516    ,    18.8515    
1999,    9, 1999.70776255,       974,       988,  30,    19.3703    ,    19.3707    
1999,   10, 1999.79246575,      1004,      1018,  31,    14.6842    ,    14.6841    
1999,   11, 1999.87442922,      1035,      1049,  30,    9.72434    ,    9.72430    
1999,   12, 1999.95913242,      1065,      1079,  31,    6.40259    ,    6.40259    
2000,    1, 2000.04234973,      1096,      1110,  31,    4.19936    ,    4.19936    
2000,    2, 2000.12295082,      1127,      1140,  29,    3.61621    ,    3.61649    
2000,    3, 2000.20901639,      1156,      1170,  31,    2.39420    ,    2.39351    
2000,    4, 2000.29098361,      1187,      1201,  30,    10.3883    ,    10.3888    
2000,    5, 2000.37568306,      1217,      1231,  31,    13.2874    ,    13.2870    
2000,    6, 2000.45765027,      1248,      1262,  30,    18.8413    ,    18.8418    
2000,    7, 2000.54234972,      1278,      1292,  31,    18.8355    ,    18.8353    
2000,    8, 2000.62568306,      1309,      1323,  31,    19.9910    ,    19.9913    
2000,    9, 2000.70765027,      1340,      1354,  30,    17.7697    ,    17.7698    
2000,   10, 2000.79234972,      1370,      1384,  31,    12.0645    ,    12.0647    
2000,   11, 2000.87431694,      1401,      1415,  30,    5.44367    ,    5.44310    
2000,   12, 2000.95901639,      1431,      1445,  31,    6.24420    ,    6.23741    
2001,    1, 2001.04246575,      1462,      1476,  31,    4.39678    ,    4.40598    
2001,    2, 2001.12168950,      1493,      1506,  28,    4.30536    ,    4.30485    
2001,    3, 2001.20913242,      1521,      1535,  31,    8.77033    ,    8.77084    
2001,    4, 2001.29109589,      1552,      1566,  30,    8.40167    ,    8.40085    
2001,    5, 2001.37579909,      1582,      1596,  31,    17.4471    ,    17.4478    
2001,    6, 2001.45776256,      1613,      1627,  30,    17.8173    ,    17.8170    
2001,    7, 2001.54246575,      1643,      1657,  31,    20.3526    ,    20.3529    
