Year, Month, Day, YrMnDy, y_obs, y_int, step_x, step_y
1997,    1,    1, 1997.00000000,    0.00000    ,   0.415542    , 1997.00000000,   0.103668    
1997,    1,    2, 1997.00273973,    0.00000    ,   0.384839    , 1997.00273973,   0.103668    
1997,    1,    3, 1997.00547945,    0.00000    ,   0.355066    , 1997.00547945,   0.103668    
1997,    1,    4, 1997.00821918,    0.00000    ,   0.326211    , 1997.00821918,   0.103668    
1997,    1,    5, 1997.01095890,    0.00000    ,   0.298263    , 1997.01095890,   0.103668    
1997,    1,    6, 1997.01369863,    0.00000    ,   0.271212    , 1997.01369863,   0.103668    
1997,    1,    7, 1997.01643836,    0.00000    ,   0.245049    , 1997.01643836,   0.103668    
1997,    1,    8, 1997.01917808,    0.00000    ,   0.219761    , 1997.01917808,   0.103668    
1997,    1,    9, 1997.02191781,    0.00000    ,   0.195339    , 1997.02191781,   0.103668    
1997,    1,   10, 1997.02465753,   0.308243E-02,   0.171772    , 1997.02465753,   0.103668    
1997,    1,   11, 1997.02739726,    0.00000    ,   0.149050    , 1997.02739726,   0.103668    
1997,    1,   12, 1997.03013699,    0.00000    ,   0.127163    , 1997.03013699,   0.103668    
1997,    1,   13, 1997.03287671,   0.330847    ,   0.106099    , 1997.03287671,   0.103668    
1997,    1,   14, 1997.03561644,    2.39365    ,   0.858480E-01, 1997.03561644,   0.103668    
1997,    1,   15, 1997.03835616,    0.00000    ,   0.664001E-01, 1997.03835616,   0.103668    
1997,    1,   16, 1997.04109589,    0.00000    ,   0.477445E-01, 1997.04109589,   0.103668    
1997,    1,   17, 1997.04383562,   0.346259    ,   0.298707E-01, 1997.04383562,   0.103668    
1997,    1,   18, 1997.04657534,    0.00000    ,   0.127683E-01, 1997.04657534,   0.103668    
1997,    1,   19, 1997.04931507,    0.00000    ,    0.00000    , 1997.04931507,   0.103668    
1997,    1,   20, 1997.05205479,    0.00000    ,    0.00000    , 1997.05205479,   0.103668    
1997,    1,   21, 1997.05479452,    0.00000    ,    0.00000    , 1997.05479452,   0.103668    
1997,    1,   22, 1997.05753425,    0.00000    ,    0.00000    , 1997.05753425,   0.103668    
1997,    1,   23, 1997.06027397,    0.00000    ,    0.00000    , 1997.06027397,   0.103668    
1997,    1,   24, 1997.06301370,    0.00000    ,    0.00000    , 1997.06301370,   0.103668    
1997,    1,   25, 1997.06575342,    0.00000    ,    0.00000    , 1997.06575342,   0.103668    
1997,    1,   26, 1997.06849315,    0.00000    ,    0.00000    , 1997.06849315,   0.103668    
1997,    1,   27, 1997.07123288,   0.616423E-02,    0.00000    , 1997.07123288,   0.103668    
1997,    1,   28, 1997.07397260,   0.133702    ,    0.00000    , 1997.07397260,   0.103668    
1997,    1,   29, 1997.07671233,    0.00000    ,    0.00000    , 1997.07671233,   0.103668    
1997,    1,   30, 1997.07945205,    0.00000    ,    0.00000    , 1997.07945205,   0.103668    
1997,    1,   31, 1997.08219178,    0.00000    ,    0.00000    , 1997.08356164,   0.103668    
1997,    2,    1, 1997.08493151,    0.00000    ,    0.00000    , 1997.08356164,   0.806120E-01
1997,    2,    2, 1997.08767123,    0.00000    ,    0.00000    , 1997.08767123,   0.806120E-01
1997,    2,    3, 1997.09041096,    0.00000    ,    0.00000    , 1997.09041096,   0.806120E-01
1997,    2,    4, 1997.09315068,    0.00000    ,    0.00000    , 1997.09315068,   0.806120E-01
1997,    2,    5, 1997.09589041,    0.00000    ,    0.00000    , 1997.09589041,   0.806120E-01
1997,    2,    6, 1997.09863014,    0.00000    ,    0.00000    , 1997.09863014,   0.806120E-01
1997,    2,    7, 1997.10136986,    0.00000    ,    0.00000    , 1997.10136986,   0.806120E-01
1997,    2,    8, 1997.10410959,    0.00000    ,    0.00000    , 1997.10410959,   0.806120E-01
1997,    2,    9, 1997.10684932,    0.00000    ,    0.00000    , 1997.10684932,   0.806120E-01
1997,    2,   10, 1997.10958904,    0.00000    ,    0.00000    , 1997.10958904,   0.806120E-01
1997,    2,   11, 1997.11232877,   0.336140E-01,    0.00000    , 1997.11232877,   0.806120E-01
1997,    2,   12, 1997.11506849,    0.00000    ,    0.00000    , 1997.11506849,   0.806120E-01
1997,    2,   13, 1997.11780822,    0.00000    ,    0.00000    , 1997.11780822,   0.806120E-01
1997,    2,   14, 1997.12054795,    0.00000    ,    0.00000    , 1997.12054795,   0.806120E-01
1997,    2,   15, 1997.12328767,    0.00000    ,    0.00000    , 1997.12328767,   0.806120E-01
1997,    2,   16, 1997.12602740,    0.00000    ,    0.00000    , 1997.12602740,   0.806120E-01
1997,    2,   17, 1997.12876712,   0.255695E-01,    0.00000    , 1997.12876712,   0.806120E-01
1997,    2,   18, 1997.13150685,    0.00000    ,    0.00000    , 1997.13150685,   0.806120E-01
1997,    2,   19, 1997.13424658,    0.00000    ,    0.00000    , 1997.13424658,   0.806120E-01
1997,    2,   20, 1997.13698630,    0.00000    ,    0.00000    , 1997.13698630,   0.806120E-01
1997,    2,   21, 1997.13972603,    0.00000    ,   0.152404E-02, 1997.13972603,   0.806120E-01
1997,    2,   22, 1997.14246575,    0.00000    ,   0.101623    , 1997.14246575,   0.806120E-01
1997,    2,   23, 1997.14520548,    0.00000    ,   0.210965    , 1997.14520548,   0.806120E-01
1997,    2,   24, 1997.14794521,    0.00000    ,   0.328584    , 1997.14794521,   0.806120E-01
1997,    2,   25, 1997.15068493,    0.00000    ,   0.453512    , 1997.15068493,   0.806120E-01
1997,    2,   26, 1997.15342466,    0.00000    ,   0.584783    , 1997.15342466,   0.806120E-01
1997,    2,   27, 1997.15616438,   0.980101    ,   0.721431    , 1997.15616438,   0.806120E-01
1997,    2,   28, 1997.15890411,    1.21785    ,   0.862488    , 1997.16027397,   0.806120E-01
1997,    3,    1, 1997.16164384,    7.40832    ,    1.19507    , 1997.16027397,    3.02057    
1997,    3,    2, 1997.16438356,    0.00000    ,    1.34205    , 1997.16438356,    3.02057    
1997,    3,    3, 1997.16712329,    0.00000    ,    1.49053    , 1997.16712329,    3.02057    
1997,    3,    4, 1997.16986301,    0.00000    ,    1.63956    , 1997.16986301,    3.02057    
1997,    3,    5, 1997.17260274,    0.00000    ,    1.78817    , 1997.17260274,    3.02057    
1997,    3,    6, 1997.17534247,    0.00000    ,    1.93538    , 1997.17534247,    3.02057    
1997,    3,    7, 1997.17808219,    0.00000    ,    2.08023    , 1997.17808219,    3.02057    
1997,    3,    8, 1997.18082192,    0.00000    ,    2.22177    , 1997.18082192,    3.02057    
1997,    3,    9, 1997.18356164,    0.00000    ,    2.35901    , 1997.18356164,    3.02057    
1997,    3,   10, 1997.18630137,    0.00000    ,    2.49099    , 1997.18630137,    3.02057    
1997,    3,   11, 1997.18904110,    0.00000    ,    2.61675    , 1997.18904110,    3.02057    
1997,    3,   12, 1997.19178082,    0.00000    ,    2.73531    , 1997.19178082,    3.02057    
1997,    3,   13, 1997.19452055,    7.41402    ,    2.84572    , 1997.19452055,    3.02057    
1997,    3,   14, 1997.19726027,   0.146378    ,    2.94701    , 1997.19726027,    3.02057    
1997,    3,   15, 1997.20000000,    0.00000    ,    3.03820    , 1997.20000000,    3.02057    
1997,    3,   16, 1997.20273973,    3.25699    ,    3.12506    , 1997.20273973,    3.02057    
1997,    3,   17, 1997.20547945,    11.8227    ,    3.21381    , 1997.20547945,    3.02057    
1997,    3,   18, 1997.20821918,    5.91173    ,    3.30413    , 1997.20821918,    3.02057    
1997,    3,   19, 1997.21095890,    0.00000    ,    3.39572    , 1997.21095890,    3.02057    
1997,    3,   20, 1997.21369863,    0.00000    ,    3.48828    , 1997.21369863,    3.02057    
1997,    3,   21, 1997.21643836,    0.00000    ,    3.58149    , 1997.21643836,    3.02057    
1997,    3,   22, 1997.21917808,    15.6437    ,    3.67507    , 1997.21917808,    3.02057    
1997,    3,   23, 1997.22191781,   0.635714    ,    3.76869    , 1997.22191781,    3.02057    
1997,    3,   24, 1997.22465753,    1.70225    ,    3.86207    , 1997.22465753,    3.02057    
1997,    3,   25, 1997.22739726,    7.60734    ,    3.95489    , 1997.22739726,    3.02057    
1997,    3,   26, 1997.23013699,    0.00000    ,    4.04684    , 1997.23013699,    3.02057    
1997,    3,   27, 1997.23287671,    18.8714    ,    4.13763    , 1997.23287671,    3.02057    
1997,    3,   28, 1997.23561644,    5.85551    ,    4.22695    , 1997.23561644,    3.02057    
1997,    3,   29, 1997.23835616,   0.106633E-01,    4.31449    , 1997.23835616,    3.02057    
1997,    3,   30, 1997.24109589,    2.95188    ,    4.39995    , 1997.24109589,    3.02057    
1997,    3,   31, 1997.24383562,    4.39894    ,    4.48303    , 1997.24520548,    3.02057    
1997,    4,    1, 1997.24657534,    19.9506    ,    4.56342    , 1997.24520548,    5.06747    
1997,    4,    2, 1997.24931507,    3.24353    ,    4.64082    , 1997.24931507,    5.06747    
1997,    4,    3, 1997.25205479,    7.17350    ,    4.71491    , 1997.25205479,    5.06747    
1997,    4,    4, 1997.25479452,    5.58515    ,    4.78541    , 1997.25479452,    5.06747    
1997,    4,    5, 1997.25753425,    0.00000    ,    4.85199    , 1997.25753425,    5.06747    
1997,    4,    6, 1997.26027397,    7.83681    ,    4.91437    , 1997.26027397,    5.06747    
1997,    4,    7, 1997.26301370,    0.00000    ,    4.97223    , 1997.26301370,    5.06747    
1997,    4,    8, 1997.26575342,    0.00000    ,    5.02526    , 1997.26575342,    5.06747    
1997,    4,    9, 1997.26849315,   0.803958E-01,    5.07317    , 1997.26849315,    5.06747    
1997,    4,   10, 1997.27123288,    5.94494    ,    5.11566    , 1997.27123288,    5.06747    
1997,    4,   11, 1997.27397260,    3.88317    ,    5.15240    , 1997.27397260,    5.06747    
1997,    4,   12, 1997.27671233,    3.53774    ,    5.18311    , 1997.27671233,    5.06747    
1997,    4,   13, 1997.27945205,    0.00000    ,    5.20747    , 1997.27945205,    5.06747    
1997,    4,   14, 1997.28219178,   0.645666    ,    5.22518    , 1997.28219178,    5.06747    
1997,    4,   15, 1997.28493151,    0.00000    ,    5.23594    , 1997.28493151,    5.06747    
1997,    4,   16, 1997.28767123,    0.00000    ,    5.24074    , 1997.28767123,    5.06747    
1997,    4,   17, 1997.29041096,   0.953621    ,    5.24098    , 1997.29041096,    5.06747    
1997,    4,   18, 1997.29315068,   0.690309    ,    5.23700    , 1997.29315068,    5.06747    
1997,    4,   19, 1997.29589041,   0.384095E-01,    5.22912    , 1997.29589041,    5.06747    
1997,    4,   20, 1997.29863014,    0.00000    ,    5.21766    , 1997.29863014,    5.06747    
1997,    4,   21, 1997.30136986,    0.00000    ,    5.20294    , 1997.30136986,    5.06747    
1997,    4,   22, 1997.30410959,    11.7463    ,    5.18531    , 1997.30410959,    5.06747    
1997,    4,   23, 1997.30684932,    13.1433    ,    5.16507    , 1997.30684932,    5.06747    
1997,    4,   24, 1997.30958904,   0.736780    ,    5.14256    , 1997.30958904,    5.06747    
1997,    4,   25, 1997.31232877,    0.00000    ,    5.11810    , 1997.31232877,    5.06747    
