Year, Month, YrMn, MonBeg, MidMonth, ndays, ym, ym_int
1997,    1, 1997.04246575,         1,        15,  31,    26.4861    ,    26.4881    
1997,    2, 1997.12168950,        32,        45,  28,    23.8322    ,    23.8371    
1997,    3, 1997.20913242,        60,        74,  31,    28.1929    ,    28.1840    
1997,    4, 1997.29109589,        91,       105,  30,    28.3360    ,    28.3407    
1997,    5, 1997.37579909,       121,       135,  31,    27.2248    ,    27.2237    
1997,    6, 1997.45776256,       152,       166,  30,    25.5700    ,    25.5702    
1997,    7, 1997.54246575,       182,       196,  31,    23.9403    ,    23.9395    
1997,    8, 1997.62579908,       213,       227,  31,    23.4810    ,    23.4822    
1997,    9, 1997.70776255,       244,       258,  30,    24.7967    ,    24.7957    
1997,   10, 1997.79246575,       274,       288,  31,    25.8174    ,    25.8185    
1997,   11, 1997.87442922,       305,       319,  30,    25.6767    ,    25.6759    
1997,   12, 1997.95913242,       335,       349,  31,    24.5558    ,    24.5559    
1998,    1, 1998.04246575,       366,       380,  31,    24.9365    ,    24.9458    
1998,    2, 1998.12168950,       397,       410,  28,    28.7618    ,    28.7538    
1998,    3, 1998.20913242,       425,       439,  31,    29.4610    ,    29.4683    
1998,    4, 1998.29109589,       456,       470,  30,    29.9860    ,    29.9808    
1998,    5, 1998.37579909,       486,       500,  31,    28.1971    ,    28.2009    
1998,    6, 1998.45776256,       517,       531,  30,    26.8537    ,    26.8522    
1998,    7, 1998.54246575,       547,       561,  31,    24.7900    ,    24.7896    
1998,    8, 1998.62579908,       578,       592,  31,    23.6426    ,    23.6437    
1998,    9, 1998.70776255,       609,       623,  30,    24.4170    ,    24.4153    
1998,   10, 1998.79246575,       639,       653,  31,    25.4171    ,    25.4201    
1998,   11, 1998.87442922,       670,       684,  30,    25.8003    ,    25.7968    
1998,   12, 1998.95913242,       700,       714,  31,    24.5287    ,    24.5314    
1999,    1, 1999.04246575,       731,       745,  31,    25.4061    ,    25.4064    
1999,    2, 1999.12168950,       762,       775,  28,    28.1611    ,    28.1622    
1999,    3, 1999.20913242,       790,       804,  31,    30.1813    ,    30.1786    
1999,    4, 1999.29109589,       821,       835,  30,    29.4790    ,    29.4808    
1999,    5, 1999.37579909,       851,       865,  31,    28.4584    ,    28.4584    
1999,    6, 1999.45776256,       882,       896,  30,    26.4790    ,    26.4777    
1999,    7, 1999.54246575,       912,       926,  31,    23.8568    ,    23.8587    
1999,    8, 1999.62579908,       943,       957,  31,    23.1203    ,    23.1189    
1999,    9, 1999.70776255,       974,       988,  30,    23.4360    ,    23.4361    
1999,   10, 1999.79246575,      1004,      1018,  31,    24.5942    ,    24.5978    
1999,   11, 1999.87442922,      1035,      1049,  30,    24.7103    ,    24.7021    
1999,   12, 1999.95913242,      1065,      1079,  31,    22.9300    ,    22.9398    
2000,    1, 2000.04234973,      1096,      1110,  31,    25.3423    ,    25.3393    
2000,    2, 2000.12295082,      1127,      1140,  29,    24.4662    ,    24.4679    
2000,    3, 2000.20901639,      1156,      1170,  31,    27.3152    ,    27.3144    
2000,    4, 2000.29098361,      1187,      1201,  30,    30.1667    ,    30.1676    
2000,    5, 2000.37568306,      1217,      1231,  31,    29.0403    ,    29.0386    
2000,    6, 2000.45765027,      1248,      1262,  30,    25.3737    ,    25.3757    
2000,    7, 2000.54234972,      1278,      1292,  31,    24.2236    ,    24.2217    
2000,    8, 2000.62568306,      1309,      1323,  31,    23.2732    ,    23.2746    
2000,    9, 2000.70765027,      1340,      1354,  30,    23.9683    ,    23.9671    
2000,   10, 2000.79234972,      1370,      1384,  31,    24.7303    ,    24.7318    
2000,   11, 2000.87431694,      1401,      1415,  30,    25.3170    ,    25.3156    
2000,   12, 2000.95901639,      1431,      1445,  31,    24.1142    ,    24.1153    
2001,    1, 2001.04246575,      1462,      1476,  31,    24.7694    ,    24.7668    
2001,    2, 2001.12168950,      1493,      1506,  28,    26.2857    ,    26.2889    
2001,    3, 2001.20913242,      1521,      1535,  31,    30.3955    ,    30.3914    
2001,    4, 2001.29109589,      1552,      1566,  30,    29.4487    ,    29.4519    
2001,    5, 2001.37579909,      1582,      1596,  31,    28.3419    ,    28.3394    
2001,    6, 2001.45776256,      1613,      1627,  30,    25.4177    ,    25.4192    
2001,    7, 2001.54246575,      1643,      1657,  31,    23.9732    ,    23.9725    
2001,    8, 2001.62579908,      1674,      1688,  31,    23.2210    ,    23.2210    
2001,    9, 2001.70776255,      1705,      1719,  30,    23.7507    ,    23.7513    
2001,   10, 2001.79246575,      1735,      1749,  31,    25.1600    ,    25.1585    
2001,   11, 2001.87442922,      1766,      1780,  30,    25.4450    ,    25.4472    
2001,   12, 2001.95913242,      1796,      1810,  31,    25.4016    ,    25.3992    
2002,    1, 2002.04246575,      1827,      1841,  31,    23.2106    ,    23.2141    
2002,    2, 2002.12168950,      1858,      1871,  28,    27.5625    ,    27.5612    
2002,    3, 2002.20913242,      1886,      1900,  31,    29.4203    ,    29.4191    
2002,    4, 2002.29109589,      1917,      1931,  30,    28.6490    ,    28.6517    
