Year, Month, Day, YrMnDy, y_obs, y_int, step_x, step_y
1997,    1,    1, 1997.00000000,    0.00000    ,    7.26593    , 1997.00000000,    5.74782    
1997,    1,    2, 1997.00273973,    36.0758    ,    7.21834    , 1997.00273973,    5.74782    
1997,    1,    3, 1997.00547945,    15.7197    ,    7.17075    , 1997.00547945,    5.74782    
1997,    1,    4, 1997.00821918,   0.109756    ,    7.12316    , 1997.00821918,    5.74782    
1997,    1,    5, 1997.01095890,   0.298571    ,    7.07557    , 1997.01095890,    5.74782    
1997,    1,    6, 1997.01369863,    0.00000    ,    7.02799    , 1997.01369863,    5.74782    
1997,    1,    7, 1997.01643836,    0.00000    ,    6.98040    , 1997.01643836,    5.74782    
1997,    1,    8, 1997.01917808,    0.00000    ,    6.93281    , 1997.01917808,    5.74782    
1997,    1,    9, 1997.02191781,    0.00000    ,    6.88522    , 1997.02191781,    5.74782    
1997,    1,   10, 1997.02465753,    0.00000    ,    6.83763    , 1997.02465753,    5.74782    
1997,    1,   11, 1997.02739726,    0.00000    ,    6.79005    , 1997.02739726,    5.74782    
1997,    1,   12, 1997.03013699,    0.00000    ,    6.74246    , 1997.03013699,    5.74782    
1997,    1,   13, 1997.03287671,    0.00000    ,    6.69487    , 1997.03287671,    5.74782    
1997,    1,   14, 1997.03561644,    0.00000    ,    6.64728    , 1997.03561644,    5.74782    
1997,    1,   15, 1997.03835616,    0.00000    ,    6.59969    , 1997.03835616,    5.74782    
1997,    1,   16, 1997.04109589,    0.00000    ,    6.45471    , 1997.04109589,    5.74782    
1997,    1,   17, 1997.04383562,    2.19743    ,    6.21234    , 1997.04383562,    5.74782    
1997,    1,   18, 1997.04657534,    0.00000    ,    5.96996    , 1997.04657534,    5.74782    
1997,    1,   19, 1997.04931507,   0.192124    ,    5.72758    , 1997.04931507,    5.74782    
1997,    1,   20, 1997.05205479,   0.545534    ,    5.48521    , 1997.05205479,    5.74782    
1997,    1,   21, 1997.05479452,   0.855109    ,    5.24283    , 1997.05479452,    5.74782    
1997,    1,   22, 1997.05753425,    14.9579    ,    5.00046    , 1997.05753425,    5.74782    
1997,    1,   23, 1997.06027397,    25.8943    ,    4.75808    , 1997.06027397,    5.74782    
1997,    1,   24, 1997.06301370,   0.242133E-01,    4.51570    , 1997.06301370,    5.74782    
1997,    1,   25, 1997.06575342,    65.4337    ,    4.27333    , 1997.06575342,    5.74782    
1997,    1,   26, 1997.06849315,    14.4332    ,    4.03095    , 1997.06849315,    5.74782    
1997,    1,   27, 1997.07123288,    1.37894    ,    3.78858    , 1997.07123288,    5.74782    
1997,    1,   28, 1997.07397260,   0.661783E-01,    3.54620    , 1997.07397260,    5.74782    
1997,    1,   29, 1997.07671233,    0.00000    ,    3.30382    , 1997.07671233,    5.74782    
1997,    1,   30, 1997.07945205,    0.00000    ,    3.06145    , 1997.07945205,    5.74782    
1997,    1,   31, 1997.08219178,    0.00000    ,    2.81907    , 1997.08356164,    5.74782    
1997,    2,    1, 1997.08493151,    0.00000    ,    2.07297    , 1997.08356164,   0.292802    
1997,    2,    2, 1997.08767123,    0.00000    ,    1.83059    , 1997.08767123,   0.292802    
1997,    2,    3, 1997.09041096,   0.821157    ,    1.58822    , 1997.09041096,   0.292802    
1997,    2,    4, 1997.09315068,    0.00000    ,    1.34584    , 1997.09315068,   0.292802    
