Year, Month, YrMn, MonBeg, MidMonth, ndays, PR
1997,    1, 1997.04246575,        1,        15,  31,    5.74782
1997,    2, 1997.12168950,       32,        45,  28,   0.292802
1997,    3, 1997.20913242,       60,        74,  31,   0.109837
1997,    4, 1997.29109589,       91,       105,  30,   0.435607
1997,    5, 1997.37579909,      121,       135,  31,   0.245416
1997,    6, 1997.45776256,      152,       166,  30,   0.721034
1997,    7, 1997.54246575,      182,       196,  31,   0.108414
1997,    8, 1997.62579908,      213,       227,  31,   0.177852
1997,    9, 1997.70776255,      244,       258,  30,   0.146997
1997,   10, 1997.79246575,      274,       288,  31,   0.961501
1997,   11, 1997.87442922,      305,       319,  30,    4.20523
1997,   12, 1997.95913242,      335,       349,  31,    2.33594
1998,    1, 1998.04246575,      366,       380,  31,    6.93540
1998,    2, 1998.12168950,      397,       410,  28,    12.8102
1998,    3, 1998.20913242,      425,       439,  31,    2.82736
1998,    4, 1998.29109589,      456,       470,  30,    2.15636
1998,    5, 1998.37579909,      486,       500,  31,    3.90191
1998,    6, 1998.45776256,      517,       531,  30,   0.886837
1998,    7, 1998.54246575,      547,       561,  31,   0.903845E-01
1998,    8, 1998.62579908,      578,       592,  31,   0.216755E-01
1998,    9, 1998.70776255,      609,       623,  30,    1.41925
1998,   10, 1998.79246575,      639,       653,  31,   0.558525
1998,   11, 1998.87442922,      670,       684,  30,    4.17379
1998,   12, 1998.95913242,      700,       714,  31,    1.07277
1999,    1, 1999.04246575,      731,       745,  31,    3.81473
1999,    2, 1999.12168950,      762,       775,  28,    4.64470
1999,    3, 1999.20913242,      790,       804,  31,    1.13358
1999,    4, 1999.29109589,      821,       835,  30,   0.802192
1999,    5, 1999.37579909,      851,       865,  31,   0.362505
1999,    6, 1999.45776256,      882,       896,  30,   0.222615
1999,    7, 1999.54246575,      912,       926,  31,   0.563358E-01
1999,    8, 1999.62579908,      943,       957,  31,   0.158463
1999,    9, 1999.70776255,      974,       988,  30,   0.589320E-01
1999,   10, 1999.79246575,     1004,      1018,  31,   0.601526
1999,   11, 1999.87442922,     1035,      1049,  30,    2.92602
1999,   12, 1999.95913242,     1065,      1079,  31,   0.468789
2000,    1, 2000.04234973,     1096,      1110,  31,    6.60373
2000,    2, 2000.12295082,     1127,      1140,  29,    8.06110
2000,    3, 2000.20901639,     1156,      1170,  31,    1.19816
2000,    4, 2000.29098361,     1187,      1201,  30,    1.36947
2000,    5, 2000.37568306,     1217,      1231,  31,    1.31390
2000,    6, 2000.45765027,     1248,      1262,  30,   0.198679
2000,    7, 2000.54234972,     1278,      1292,  31,   0.144089E-01
2000,    8, 2000.62568306,     1309,      1323,  31,   0.151444
2000,    9, 2000.70765027,     1340,      1354,  30,   0.468109
2000,   10, 2000.79234972,     1370,      1384,  31,    2.62292
2000,   11, 2000.87431694,     1401,      1415,  30,   0.968748
2000,   12, 2000.95901639,     1431,      1445,  31,   0.802438
2001,    1, 2001.04246575,     1462,      1476,  31,    2.78938
2001,    2, 2001.12168950,     1493,      1506,  28,    4.64536
2001,    3, 2001.20913242,     1521,      1535,  31,    2.50387
2001,    4, 2001.29109589,     1552,      1566,  30,    2.13700
2001,    5, 2001.37579909,     1582,      1596,  31,   0.245560E-01
2001,    6, 2001.45776256,     1613,      1627,  30,   0.275393E-01
2001,    7, 2001.54246575,     1643,      1657,  31,   0.401229E-01
2001,    8, 2001.62579908,     1674,      1688,  31,   0.213768E-01
2001,    9, 2001.70776255,     1705,      1719,  30,   0.240379
2001,   10, 2001.79246575,     1735,      1749,  31,   0.427418
2001,   11, 2001.87442922,     1766,      1780,  30,    3.75804
2001,   12, 2001.95913242,     1796,      1810,  31,    4.81819
2002,    1, 2002.04246575,     1827,      1841,  31,    2.35846
2002,    2, 2002.12168950,     1858,      1871,  28,    1.49367
2002,    3, 2002.20913242,     1886,      1900,  31,    3.16548
2002,    4, 2002.29109589,     1917,      1931,  30,   0.789697
2002,    5, 2002.37579909,     1947,      1961,  31,   0.781475
2002,    6, 2002.45776256,     1978,      1992,  30,   0.597035E-01
2002,    7, 2002.54246575,     2008,      2022,  31,   0.356565E-01
2002,    8, 2002.62579908,     2039,      2053,  31,   0.622819E-02
2002,    9, 2002.70776255,     2070,      2084,  30,   0.119476E-01
2002,   10, 2002.79246575,     2100,      2114,  31,   0.251003E-01
2002,   11, 2002.87442922,     2131,      2145,  30,    2.67701
2002,   12, 2002.95913242,     2161,      2175,  31,    7.31344
2003,    1, 2003.04246575,     2192,      2206,  31,    1.28324
2003,    2, 2003.12168950,     2223,      2236,  28,    1.77358
2003,    3, 2003.20913242,     2251,      2265,  31,    2.27804
2003,    4, 2003.29109589,     2282,      2296,  30,    4.23242
2003,    5, 2003.37579909,     2312,      2326,  31,   0.940574
2003,    6, 2003.45776256,     2343,      2357,  30,   0.249009E-01
2003,    7, 2003.54246575,     2373,      2387,  31,   0.158479
2003,    8, 2003.62579908,     2404,      2418,  31,   0.600864
2003,    9, 2003.70776255,     2435,      2449,  30,   0.363814E-01
2003,   10, 2003.79246575,     2465,      2479,  31,   0.728358E-01
2003,   11, 2003.87442922,     2496,      2510,  30,    1.25435
2003,   12, 2003.95913242,     2526,      2540,  31,    6.39734
2004,    1, 2004.04234973,     2557,      2571,  31,    1.37421
2004,    2, 2004.12295082,     2588,      2601,  29,    6.04049
2004,    3, 2004.20901639,     2617,      2631,  31,   0.762329
2004,    4, 2004.29098361,     2648,      2662,  30,   0.465204
2004,    5, 2004.37568306,     2678,      2692,  31,   0.258318
2004,    6, 2004.45765027,     2709,      2723,  30,   0.106882
2004,    7, 2004.54234972,     2739,      2753,  31,   0.103923
2004,    8, 2004.62568306,     2770,      2784,  31,   0.644984E-01
2004,    9, 2004.70765027,     2801,      2815,  30,   0.104025
2004,   10, 2004.79234972,     2831,      2845,  31,    3.14011
2004,   11, 2004.87431694,     2862,      2876,  30,    2.54382
2004,   12, 2004.95901639,     2892,      2906,  31,    5.75198
2005,    1, 2005.04246575,     2923,      2937,  31,    4.33935
2005,    2, 2005.12168950,     2954,      2967,  28,    3.74992
2005,    3, 2005.20913242,     2982,      2996,  31,    4.38081
2005,    4, 2005.29109589,     3013,      3027,  30,    1.35116
2005,    5, 2005.37579909,     3043,      3057,  31,    2.46641
2005,    6, 2005.45776256,     3074,      3088,  30,   0.676770
2005,    7, 2005.54246575,     3104,      3118,  31,   0.334381E-01
2005,    8, 2005.62579908,     3135,      3149,  31,   0.824771E-01
2005,    9, 2005.70776255,     3166,      3180,  30,   0.285645
2005,   10, 2005.79246575,     3196,      3210,  31,   0.491623
2005,   11, 2005.87442922,     3227,      3241,  30,    1.69271
2005,   12, 2005.95913242,     3257,      3271,  31,    10.8768
2006,    1, 2006.04246575,     3288,      3302,  31,    5.46325
2006,    2, 2006.12168950,     3319,      3332,  28,    2.74818
2006,    3, 2006.20913242,     3347,      3361,  31,    7.24362
2006,    4, 2006.29109589,     3378,      3392,  30,    5.71373
2006,    5, 2006.37579909,     3408,      3422,  31,   0.702496
2006,    6, 2006.45776256,     3439,      3453,  30,   0.970768E-01
2006,    7, 2006.54246575,     3469,      3483,  31,   0.630752E-01
2006,    8, 2006.62579908,     3500,      3514,  31,   0.427144E-02
2006,    9, 2006.70776255,     3531,      3545,  30,   0.694803E-02
2006,   10, 2006.79246575,     3561,      3575,  31,   0.259341
2006,   11, 2006.87442922,     3592,      3606,  30,    2.37923
2006,   12, 2006.95913242,     3622,      3636,  31,    2.89898
2007,    1, 2007.04246575,     3653,      3667,  31,   0.318858
2007,    2, 2007.12168950,     3684,      3697,  28,    7.10616
2007,    3, 2007.20913242,     3712,      3726,  31,   0.597087
2007,    4, 2007.29109589,     3743,      3757,  30,    1.43980
2007,    5, 2007.37579909,     3773,      3787,  31,   0.384945
2007,    6, 2007.45776256,     3804,      3818,  30,   0.698892E-01
2007,    7, 2007.54246575,     3834,      3848,  31,   0.764854E-01
2007,    8, 2007.62579908,     3865,      3879,  31,   0.553294E-01
2007,    9, 2007.70776255,     3896,      3910,  30,   0.202235
2007,   10, 2007.79246575,     3926,      3940,  31,    1.14553
2007,   11, 2007.87442922,     3957,      3971,  30,   0.235516
2007,   12, 2007.95913242,     3987,      4001,  31,    2.83054
2008,    1, 2008.04234973,     4018,      4032,  31,    6.31965
2008,    2, 2008.12295082,     4049,      4062,  29,    2.88686
2008,    3, 2008.20901639,     4078,      4092,  31,   0.385256
2008,    4, 2008.29098361,     4109,      4123,  30,   0.118064
2008,    5, 2008.37568306,     4139,      4153,  31,   0.670103
2008,    6, 2008.45765027,     4170,      4184,  30,   0.362218E-01
2008,    7, 2008.54234972,     4200,      4214,  31,   0.219930E-01
2008,    8, 2008.62568306,     4231,      4245,  31,   0.141020E-01
2008,    9, 2008.70765027,     4262,      4276,  30,   0.113291E-01
2008,   10, 2008.79234972,     4292,      4306,  31,   0.568980
2008,   11, 2008.87431694,     4323,      4337,  30,    2.51669
2008,   12, 2008.95901639,     4353,      4367,  31,    2.32820
2009,    1, 2009.04246575,     4384,      4398,  31,    1.98568
2009,    2, 2009.12168950,     4415,      4428,  28,    2.63984
2009,    3, 2009.20913242,     4443,      4457,  31,    2.25707
2009,    4, 2009.29109589,     4474,      4488,  30,   0.584011
2009,    5, 2009.37579909,     4504,      4518,  31,    1.62232
2009,    6, 2009.45776256,     4535,      4549,  30,   0.433128
2009,    7, 2009.54246575,     4565,      4579,  31,   0.267076E-01
2009,    8, 2009.62579908,     4596,      4610,  31,   0.633430E-01
2009,    9, 2009.70776255,     4627,      4641,  30,   0.886035E-01
2009,   10, 2009.79246575,     4657,      4671,  31,    2.11430
2009,   11, 2009.87442922,     4688,      4702,  30,   0.694690
2009,   12, 2009.95913242,     4718,      4732,  31,    2.67438
2010,    1, 2010.04246575,     4749,      4763,  31,    4.57645
2010,    2, 2010.12168950,     4780,      4793,  28,    3.65109
2010,    3, 2010.20913242,     4808,      4822,  31,    2.22113
2010,    4, 2010.29109589,     4839,      4853,  30,    3.92774
2010,    5, 2010.37579909,     4869,      4883,  31,    1.08298
2010,    6, 2010.45776256,     4900,      4914,  30,   0.518835E-01
2010,    7, 2010.54246575,     4930,      4944,  31,   0.405390E-01
2010,    8, 2010.62579908,     4961,      4975,  31,   0.447752E-01
2010,    9, 2010.70776255,     4992,      5006,  30,   0.304265E-01
2010,   10, 2010.79246575,     5022,      5036,  31,    2.74252
2010,   11, 2010.87442922,     5053,      5067,  30,    3.37572
2010,   12, 2010.95913242,     5083,      5097,  31,    5.22764
2011,    1, 2011.04246575,     5114,      5128,  31,    1.48226
2011,    2, 2011.12168950,     5145,      5158,  28,    4.50910
2011,    3, 2011.20913242,     5173,      5187,  31,    8.03521
2011,    4, 2011.29109589,     5204,      5218,  30,    1.80772
2011,    5, 2011.37579909,     5234,      5248,  31,    1.28684
2011,    6, 2011.45776256,     5265,      5279,  30,    1.39238
