Year, Month, YrMn, MonBeg, MidMonth, ndays, tas
1997,    1, 1997.04246575,        1,        15,  31,    4.39355
1997,    2, 1997.12168950,       32,        45,  28,    2.87858
1997,    3, 1997.20913242,       60,        74,  31,    8.18065
1997,    4, 1997.29109589,       91,       105,  30,    9.50200
1997,    5, 1997.37579909,      121,       135,  31,    15.6084
1997,    6, 1997.45776256,      152,       166,  30,    15.9017
1997,    7, 1997.54246575,      182,       196,  31,    19.7926
1997,    8, 1997.62579908,      213,       227,  31,    19.1997
1997,    9, 1997.70776255,      244,       258,  30,    17.9247
1997,   10, 1997.79246575,      274,       288,  31,    12.3168
1997,   11, 1997.87442922,      305,       319,  30,    8.85000
1997,   12, 1997.95913242,      335,       349,  31,    2.02161
1998,    1, 1998.04246575,      366,       380,  31,    2.58259
1998,    2, 1998.12168950,      397,       410,  28,    3.81358
1998,    3, 1998.20913242,      425,       439,  31,    5.77516
1998,    4, 1998.29109589,      456,       470,  30,    5.88333
1998,    5, 1998.37579909,      486,       500,  31,    6.69484
1998,    6, 1998.45776256,      517,       531,  30,    14.6637
1998,    7, 1998.54246575,      547,       561,  31,    20.2119
1998,    8, 1998.62579908,      578,       592,  31,    21.2039
1998,    9, 1998.70776255,      609,       623,  30,    17.6870
1998,   10, 1998.79246575,      639,       653,  31,    11.5603
1998,   11, 1998.87442922,      670,       684,  30,    7.41500
1998,   12, 1998.95913242,      700,       714,  31,    2.97549
1999,    1, 1999.04246575,      731,       745,  31,    5.38291
1999,    2, 1999.12168950,      762,       775,  28,    4.85465
1999,    3, 1999.20913242,      790,       804,  31,    5.73903
1999,    4, 1999.29109589,      821,       835,  30,    6.93900
1999,    5, 1999.37579909,      851,       865,  31,    12.3148
1999,    6, 1999.45776256,      882,       896,  30,    16.4940
1999,    7, 1999.54246575,      912,       926,  31,    18.9326
1999,    8, 1999.62579908,      943,       957,  31,    18.8516
1999,    9, 1999.70776255,      974,       988,  30,    19.3703
1999,   10, 1999.79246575,     1004,      1018,  31,    14.6842
1999,   11, 1999.87442922,     1035,      1049,  30,    9.72434
1999,   12, 1999.95913242,     1065,      1079,  31,    6.40259
2000,    1, 2000.04234973,     1096,      1110,  31,    4.19936
2000,    2, 2000.12295082,     1127,      1140,  29,    3.61621
2000,    3, 2000.20901639,     1156,      1170,  31,    2.39420
2000,    4, 2000.29098361,     1187,      1201,  30,    10.3883
2000,    5, 2000.37568306,     1217,      1231,  31,    13.2874
2000,    6, 2000.45765027,     1248,      1262,  30,    18.8413
2000,    7, 2000.54234972,     1278,      1292,  31,    18.8355
2000,    8, 2000.62568306,     1309,      1323,  31,    19.9910
2000,    9, 2000.70765027,     1340,      1354,  30,    17.7697
2000,   10, 2000.79234972,     1370,      1384,  31,    12.0645
2000,   11, 2000.87431694,     1401,      1415,  30,    5.44367
2000,   12, 2000.95901639,     1431,      1445,  31,    6.24420
2001,    1, 2001.04246575,     1462,      1476,  31,    4.39678
2001,    2, 2001.12168950,     1493,      1506,  28,    4.30536
2001,    3, 2001.20913242,     1521,      1535,  31,    8.77033
2001,    4, 2001.29109589,     1552,      1566,  30,    8.40167
2001,    5, 2001.37579909,     1582,      1596,  31,    17.4471
2001,    6, 2001.45776256,     1613,      1627,  30,    17.8173
2001,    7, 2001.54246575,     1643,      1657,  31,    20.3526
2001,    8, 2001.62579908,     1674,      1688,  31,    20.1887
2001,    9, 2001.70776255,     1705,      1719,  30,    18.3480
2001,   10, 2001.79246575,     1735,      1749,  31,    15.3674
2001,   11, 2001.87442922,     1766,      1780,  30,    9.10700
2001,   12, 2001.95913242,     1796,      1810,  31,    4.64775
2002,    1, 2002.04246575,     1827,      1841,  31,    2.61742
2002,    2, 2002.12168950,     1858,      1871,  28,    5.96786
2002,    3, 2002.20913242,     1886,      1900,  31,    6.55968
2002,    4, 2002.29109589,     1917,      1931,  30,    9.86633
2002,    5, 2002.37579909,     1947,      1961,  31,    12.8919
2002,    6, 2002.45776256,     1978,      1992,  30,    17.9547
2002,    7, 2002.54246575,     2008,      2022,  31,    21.4645
2002,    8, 2002.62579908,     2039,      2053,  31,    20.7510
2002,    9, 2002.70776255,     2070,      2084,  30,    18.0070
2002,   10, 2002.79246575,     2100,      2114,  31,    12.6042
2002,   11, 2002.87442922,     2131,      2145,  30,    9.51300
2002,   12, 2002.95913242,     2161,      2175,  31,    5.70484
2003,    1, 2003.04246575,     2192,      2206,  31,    6.84291
2003,    2, 2003.12168950,     2223,      2236,  28,    4.66500
